Time,X,Y,Z
0,0.123855,0.042712,0.184195
0.01,0.123849,0.042679,0.184185
0.02,0.123838,0.042691,0.184159
0.03,0.123835,0.042695,0.184158
0.04,0.123851,0.042677,0.184177
0.05,0.123867,0.042648,0.184184
0.06,0.123861,0.042647,0.184175
0.07,0.123908,0.042636,0.184154
0.08,0.123934,0.042596,0.184173
0.09,0.12395,0.042575,0.18416
0.1,0.123972,0.042555,0.184224
0.11,0.123972,0.042515,0.184141
0.12,0.123989,0.04248,0.184151
0.13,0.124022,0.042456,0.184159
0.14,0.124059,0.042407,0.184161
0.15,0.124072,0.042383,0.184156
0.16,0.124069,0.042347,0.184131
0.17,0.124086,0.042285,0.184111
0.18,0.124106,0.042214,0.184048
0.19,0.124125,0.042192,0.183997
0.2,0.124146,0.042137,0.183953
0.21,0.124167,0.042112,0.183917
0.22,0.12417,0.042073,0.183893
0.23,0.124186,0.042053,0.183866
0.24,0.124195,0.042019,0.183853
0.25,0.124201,0.041995,0.183824
0.26,0.124234,0.04199,0.183828
0.27,0.124287,0.041992,0.183844
0.28,0.124385,0.04216,0.184267
0.29,0.124312,0.04196,0.183848
0.3,0.12432,0.041937,0.183862
0.31,0.124315,0.041914,0.183856
0.32,0.124309,0.041907,0.183853
0.33,0.124401,0.04208,0.184336
0.34,0.12433,0.041919,0.183851
0.35,0.124315,0.041894,0.183859
0.36,0.124332,0.041897,0.183907
0.37,0.124317,0.041913,0.183927
0.38,0.124295,0.041918,0.183958
0.39,0.124317,0.041904,0.184003
0.4,0.124311,0.041919,0.184035
0.41,0.124333,0.04193,0.184069
0.42,0.124287,0.041943,0.184071
0.43,0.124275,0.041951,0.184102
0.44,0.124239,0.041958,0.184121
0.45,0.12421,0.041997,0.184181
0.46,0.124176,0.042018,0.18424
0.47,0.124143,0.042052,0.184277
0.48,0.124161,0.042085,0.184312
0.49,0.12414,0.042109,0.184377
0.5,0.124078,0.04216,0.184444
0.51,0.124046,0.042174,0.184478
0.52,0.123976,0.042182,0.184464
0.53,0.123958,0.042212,0.184543
0.54,0.123937,0.042274,0.184608
0.55,0.12391,0.0423,0.18465
0.56,0.123865,0.042347,0.184737
0.57,0.123829,0.042391,0.184814
0.58,0.123789,0.042442,0.184884
0.59,0.123726,0.042494,0.184931
0.6,0.123666,0.042544,0.184969
0.61,0.123626,0.042621,0.185089
0.62,0.123583,0.042742,0.185246
0.63,0.123502,0.042817,0.185308
0.64,0.123417,0.042914,0.185381
0.65,0.123316,0.043002,0.185423
0.66,0.123203,0.043099,0.18546
0.67,0.123129,0.043254,0.185556
