Time,X,Y,Z
0,0.123898,0.049617,0.2047
0.01,0.123967,0.049584,0.204666
0.02,0.12388,0.049623,0.204695
0.03,0.123941,0.049593,0.204659
0.04,0.123946,0.049603,0.204654
0.05,0.123852,0.049817,0.204881
0.06,0.123836,0.049906,0.20493
0.07,0.123803,0.049888,0.204919
0.08,0.123901,0.049879,0.204894
0.09,0.123827,0.049911,0.204937
0.1,0.123875,0.049882,0.204896
0.11,0.123884,0.049907,0.204893
0.12,0.123743,0.049924,0.204915
0.13,0.123747,0.049929,0.204927
0.14,0.123718,0.049938,0.204915
0.15,0.123819,0.049931,0.204925
0.16,0.123799,0.049921,0.204931
0.17,0.123788,0.049923,0.204936
0.18,0.123712,0.049974,0.204963
0.19,0.123767,0.049955,0.204938
0.2,0.123632,0.049987,0.204958
0.21,0.123631,0.050003,0.204984
0.22,0.123641,0.050006,0.205004
0.23,0.123631,0.050005,0.205009
0.24,0.123641,0.050003,0.205011
0.25,0.123665,0.050006,0.205022
0.26,0.123776,0.049964,0.205001
0.27,0.123663,0.049986,0.204999
0.28,0.123693,0.049981,0.205001
0.29,0.1237,0.049954,0.205019
0.3,0.1237,0.049939,0.204997
0.31,0.123719,0.049929,0.204986
0.32,0.123841,0.049895,0.204963
0.33,0.123841,0.049872,0.204966
0.34,0.123847,0.049875,0.20495
0.35,0.123838,0.049859,0.204937
0.36,0.123706,0.049861,0.204927
0.37,0.123793,0.049839,0.204917
0.38,0.123677,0.049828,0.204943
0.39,0.123664,0.049834,0.204923
0.4,0.123781,0.04981,0.204887
0.41,0.123657,0.049829,0.204896
0.42,0.12367,0.049823,0.204877
0.43,0.123782,0.049784,0.204864
0.44,0.123686,0.049802,0.204884
0.45,0.123674,0.049801,0.204881
0.46,0.123782,0.04979,0.20487
0.47,0.123779,0.04979,0.204863
0.48,0.12378,0.049793,0.204866
0.49,0.123774,0.049803,0.204859
0.5,0.123645,0.049821,0.204866
0.51,0.123632,0.049815,0.204865
0.52,0.123627,0.049801,0.204872
0.53,0.12372,0.049789,0.204852
0.54,0.123722,0.0498,0.204848
0.55,0.123613,0.049832,0.204853
0.56,0.1236,0.049812,0.204861
0.57,0.1236,0.049825,0.204843
0.58,0.1237,0.04981,0.204823
0.59,0.123708,0.049792,0.204843
0.6,0.123588,0.049815,0.204856
0.61,0.123705,0.0498,0.204849
0.62,0.123587,0.049827,0.204852
0.63,0.123616,0.049829,0.20486
0.64,0.12363,0.049815,0.204866
0.65,0.123633,0.049798,0.204863
0.66,0.123622,0.049788,0.204866
0.67,0.12374,0.049764,0.204858
0.68,0.123623,0.049772,0.204881
0.69,0.123635,0.049781,0.204877
0.7,0.123604,0.049762,0.204868
0.71,0.123617,0.049752,0.20487
0.72,0.123618,0.049744,0.204872
0.73,0.12362,0.049737,0.20487
0.74,0.123611,0.049705,0.20487
0.75,0.123614,0.049704,0.204859
0.76,0.123642,0.049705,0.204858
0.77,0.123755,0.049692,0.204836
0.78,0.12374,0.04968,0.204857
0.79,0.123744,0.049699,0.204854
0.8,0.123732,0.049703,0.20487
0.81,0.123609,0.049727,0.204873
0.82,0.123602,0.049745,0.204885
0.83,0.123609,0.049745,0.204876
0.84,0.123616,0.049745,0.204885
0.85,0.12361,0.049743,0.204894
0.86,0.123603,0.049738,0.204891
0.87,0.123577,0.049747,0.204885
0.88,0.123587,0.049754,0.204906
0.89,0.123564,0.049761,0.204888
0.9,0.12364,0.049754,0.20486
0.91,0.123484,0.049771,0.204879
0.92,0.123487,0.049768,0.204881
0.93,0.123562,0.049733,0.204839
0.94,0.123438,0.049763,0.204838
0.95,0.123533,0.049752,0.2048
0.96,0.123404,0.049758,0.204821
0.97,0.123485,0.049741,0.204801
0.98,0.123347,0.049754,0.204811
0.99,0.12332,0.049758,0.204797
1,0.123278,0.04978,0.204783
1.01,0.123221,0.049786,0.204778
1.02,0.123177,0.049767,0.204764
1.03,0.12313,0.049768,0.204738
1.04,0.123064,0.049757,0.204687
1.05,0.123006,0.049755,0.204644
1.06,0.122963,0.049755,0.204601
1.07,0.122892,0.049754,0.204576
1.08,0.122815,0.049788,0.204558
1.09,0.122741,0.049778,0.204527
1.1,0.122699,0.049794,0.204502
1.11,0.122655,0.049767,0.204455
1.12,0.122563,0.049702,0.204365
1.13,0.122499,0.049685,0.204294
1.14,0.122465,0.049665,0.204231
1.15,0.122439,0.049619,0.204162
1.16,0.122384,0.049567,0.204096
1.17,0.122341,0.049518,0.204003
1.18,0.122293,0.049513,0.203925
1.19,0.122277,0.04947,0.203847
1.2,0.122256,0.049384,0.203742
1.21,0.12224,0.049325,0.20365
1.22,0.122188,0.049251,0.203528
1.23,0.12216,0.049195,0.20342
1.24,0.122121,0.0491,0.203284
1.25,0.122092,0.049004,0.20318
1.26,0.12206,0.048921,0.203054
1.27,0.122038,0.048849,0.202879
1.28,0.122009,0.048757,0.202728
1.29,0.121972,0.048617,0.202539
1.3,0.121956,0.048499,0.202347
1.31,0.121938,0.048414,0.202155
1.32,0.121925,0.048278,0.201947
1.33,0.121919,0.04818,0.201733
1.34,0.121884,0.048069,0.201487
1.35,0.12184,0.047984,0.201241
1.36,0.121829,0.047967,0.200981
1.37,0.121783,0.04798,0.20064
1.38,0.121778,0.048118,0.200414
1.39,0.121934,0.048717,0.200229
1.4,0.122204,0.049325,0.200383
1.41,0.122827,0.050701,0.200965
1.42,0.123626,0.052512,0.202069
1.43,0.124588,0.054874,0.204307
1.44,0.125944,0.056746,0.207376
1.45,0.127233,0.059212,0.21172
1.46,0.128476,0.061657,0.216665
1.47,0.129921,0.063972,0.223357
1.48,0.131192,0.065718,0.230931
1.49,0.132644,0.067359,0.240187
1.5,0.134053,0.068484,0.250519
1.51,0.136005,0.069455,0.262429
1.52,0.136646,0.069992,0.274345
1.53,0.137594,0.070575,0.287391
1.54,0.138846,0.071299,0.301248
1.55,0.139444,0.072006,0.315169
1.56,0.139754,0.072875,0.329491
1.57,0.139988,0.074021,0.34413
1.58,0.140299,0.075459,0.359393
1.59,0.140638,0.077109,0.375192
1.6,0.140908,0.078912,0.391513
1.61,0.14117,0.081155,0.408352
1.62,0.141433,0.0835,0.425743
1.63,0.141762,0.086311,0.44342
1.64,0.141841,0.089062,0.461409
1.65,0.141929,0.092405,0.480186
1.66,0.141902,0.095705,0.499485
1.67,0.141803,0.099598,0.519409
1.68,0.14125,0.104004,0.539753
1.69,0.14061,0.109777,0.560391
1.7,0.139893,0.116621,0.581482
1.71,0.139083,0.124528,0.602458
1.72,0.138348,0.133346,0.623306
