Time,X,Y,Z
0,0.215318,0.811779,0.223551
0.01,0.215395,0.811798,0.223474
0.02,0.215479,0.811847,0.22338
0.03,0.215557,0.811906,0.223299
0.04,0.215625,0.811945,0.223219
0.05,0.215688,0.811998,0.223147
0.06,0.215744,0.812049,0.223073
0.07,0.215796,0.812112,0.223017
0.08,0.215822,0.812191,0.222976
0.09,0.21587,0.812231,0.222975
0.1,0.215891,0.81228,0.222945
0.11,0.215926,0.812338,0.22296
0.12,0.21594,0.812401,0.223003
0.13,0.215984,0.812461,0.223047
0.14,0.216025,0.812516,0.223113
0.15,0.21608,0.81256,0.22321
0.16,0.216129,0.812605,0.223334
0.17,0.216205,0.812646,0.223447
0.18,0.216294,0.812687,0.22359
0.19,0.216385,0.812709,0.223739
0.2,0.216484,0.812717,0.223901
0.21,0.216605,0.812753,0.224051
0.22,0.21674,0.812792,0.224226
0.23,0.21687,0.812825,0.224404
0.24,0.217046,0.812844,0.224551
0.25,0.217184,0.812877,0.224714
0.26,0.217345,0.812936,0.224872
0.27,0.217512,0.812978,0.225013
0.28,0.217702,0.813006,0.225161
0.29,0.217887,0.813025,0.225309
0.3,0.218064,0.813045,0.225443
0.31,0.218199,0.813082,0.22557
0.32,0.218333,0.813137,0.225683
0.33,0.218459,0.81318,0.225788
0.34,0.218532,0.813325,0.225835
0.35,0.218635,0.813424,0.225932
0.36,0.218846,0.813439,0.226154
0.37,0.218948,0.813549,0.2263
0.38,0.219078,0.813693,0.226494
0.39,0.219202,0.813837,0.226688
0.4,0.219298,0.81397,0.226902
0.41,0.219409,0.814105,0.227145
0.42,0.219542,0.81424,0.227365
0.43,0.219675,0.814387,0.227606
0.44,0.21981,0.814556,0.227882
0.45,0.219962,0.814768,0.22817
0.46,0.220183,0.814945,0.228491
0.47,0.220315,0.815188,0.228828
0.48,0.220618,0.815257,0.229383
0.49,0.220824,0.815372,0.229901
0.5,0.221009,0.815473,0.23047
0.51,0.221192,0.81553,0.23105
0.52,0.221457,0.815591,0.231658
0.53,0.221804,0.815597,0.232346
0.54,0.22218,0.815602,0.232978
0.55,0.222488,0.815621,0.233677
0.56,0.22285,0.815623,0.23436
0.57,0.223296,0.815636,0.235016
0.58,0.223666,0.815575,0.235756
0.59,0.224001,0.815614,0.236481
0.6,0.22434,0.815617,0.237249
0.61,0.224721,0.815628,0.237974
0.62,0.225093,0.815626,0.238712
0.63,0.225478,0.815667,0.239367
0.64,0.225926,0.815702,0.239925
0.65,0.226358,0.815701,0.240513
0.66,0.226775,0.815638,0.241131
0.67,0.227208,0.815786,0.241566
0.68,0.227778,0.815888,0.24198
0.69,0.228417,0.815966,0.242527
0.7,0.22908,0.816155,0.242905
0.71,0.229642,0.816431,0.243164
0.72,0.23029,0.816694,0.243567
0.73,0.23107,0.817064,0.243822
0.74,0.232031,0.817531,0.243898
0.75,0.233193,0.81813,0.243777
0.76,0.233841,0.818784,0.243613
0.77,0.235335,0.819732,0.243127
0.78,0.236997,0.82089,0.242268
0.79,0.238763,0.822315,0.241388
0.8,0.240516,0.824043,0.240344
0.81,0.242547,0.825986,0.239022
0.82,0.244865,0.828158,0.237532
0.83,0.247472,0.830714,0.235754
0.84,0.250394,0.83358,0.233802
0.85,0.253828,0.836966,0.231568
0.86,0.257428,0.840681,0.229347
0.87,0.261271,0.844814,0.226923
0.88,0.265337,0.849323,0.2245
0.89,0.269585,0.854045,0.222001
0.9,0.273948,0.859049,0.219534
0.91,0.278575,0.864389,0.217096
0.92,0.283501,0.870123,0.214457
0.93,0.288687,0.876342,0.21193
0.94,0.293982,0.882884,0.20936
0.95,0.299815,0.890097,0.206652
0.96,0.305449,0.897583,0.20416
0.97,0.311279,0.905665,0.201805
0.98,0.317074,0.914166,0.199533
0.99,0.322905,0.922952,0.197437
1,0.328737,0.932212,0.195701
1.01,0.334506,0.941771,0.194121
1.02,0.3404,0.951687,0.192811
1.03,0.346185,0.961937,0.191863
1.04,0.351903,0.972659,0.191107
1.05,0.357576,0.983656,0.190704
1.06,0.363235,0.995159,0.190624
1.07,0.368887,1.007018,0.190827
1.08,0.374697,1.019231,0.191353
1.09,0.379573,1.031185,0.192352
1.1,0.384772,1.043698,0.193572
1.11,0.389891,1.056489,0.195289
1.12,0.394774,1.069501,0.197359
1.13,0.399487,1.082639,0.199845
1.14,0.403895,1.09578,0.202618
1.15,0.408292,1.109035,0.205834
1.16,0.412311,1.122413,0.209334
1.17,0.416309,1.135782,0.213319
1.18,0.420011,1.148927,0.217567
1.19,0.423024,1.162061,0.221988
1.2,0.424667,1.17303,0.225445
1.21,0.427607,1.187631,0.230893
1.22,0.430323,1.201493,0.237641
