time,X,Y,Z
0,0.252105,0.826411,0.295015
0.01,0.251881,0.826347,0.29525
0.02,0.251668,0.826288,0.295459
0.03,0.251491,0.826242,0.295614
0.04,0.251343,0.826199,0.295743
0.05,0.251215,0.826148,0.295845
0.06,0.25111,0.826106,0.295927
0.07,0.251004,0.826069,0.295994
0.08,0.250923,0.826032,0.296048
0.09,0.250834,0.825997,0.296127
0.1,0.250792,0.825942,0.29621
0.11,0.250749,0.825891,0.296275
0.12,0.250724,0.825852,0.296325
0.13,0.2507,0.825812,0.296365
0.14,0.250707,0.825773,0.296397
0.15,0.250735,0.82575,0.296416
0.16,0.250767,0.825739,0.296427
0.17,0.250822,0.825719,0.29645
0.18,0.250851,0.825707,0.296471
0.19,0.25093,0.82568,0.296476
0.2,0.250988,0.825651,0.29647
0.21,0.25105,0.825616,0.296476
0.22,0.251128,0.825557,0.296456
0.23,0.251219,0.825501,0.296423
0.24,0.251294,0.825423,0.296366
0.25,0.251389,0.825368,0.296285
0.26,0.251482,0.825293,0.296206
0.27,0.251578,0.82523,0.296092
0.28,0.25164,0.825223,0.295917
0.29,0.25173,0.825193,0.29577
0.3,0.251827,0.825142,0.29558
0.31,0.251951,0.825053,0.295409
0.32,0.252021,0.825016,0.295182
0.33,0.25213,0.825007,0.294916
0.34,0.252248,0.824989,0.294609
0.35,0.252398,0.824971,0.294248
0.36,0.252594,0.824945,0.293833
0.37,0.252811,0.824943,0.293377
0.38,0.253146,0.82496,0.292698
0.39,0.253549,0.824915,0.291957
0.4,0.254042,0.824884,0.291136
0.41,0.254699,0.824924,0.290118
0.42,0.255594,0.82498,0.288817
0.43,0.256586,0.825123,0.287416
0.44,0.257875,0.825342,0.285588
0.45,0.259471,0.825746,0.283359
0.46,0.261276,0.826243,0.280786
0.47,0.263239,0.82689,0.277862
0.48,0.265468,0.827622,0.274509
0.49,0.267934,0.828548,0.270868
0.5,0.270725,0.829501,0.266879
0.51,0.273788,0.830709,0.262425
0.52,0.276927,0.832092,0.257846
0.53,0.280217,0.833878,0.252982
0.54,0.283675,0.835896,0.247886
0.55,0.287441,0.83833,0.242524
0.56,0.291288,0.841131,0.237145
0.57,0.295392,0.844413,0.231633
0.58,0.299784,0.848171,0.226102
0.59,0.304418,0.852537,0.220393
0.6,0.309163,0.857352,0.214849
0.61,0.31417,0.862568,0.209217
0.62,0.319444,0.868208,0.203604
0.63,0.324998,0.874206,0.198105
0.64,0.330761,0.880633,0.192618
0.65,0.336657,0.887403,0.187269
0.66,0.342692,0.894625,0.181976
0.67,0.348976,0.902385,0.176741
