Time,RToeOut_X,RToeOut_Y,RToeOut_Z
0,0.131844,0.043048,1.087346
0.01,0.131865,0.043043,1.087368
0.02,0.131871,0.043053,1.087371
0.03,0.131875,0.043036,1.087374
0.04,0.131873,0.04304,1.087368
0.05,0.131902,0.043046,1.087351
0.06,0.131945,0.043049,1.087371
0.07,0.131924,0.043033,1.087362
0.08,0.131911,0.043024,1.087371
0.09,0.131951,0.043026,1.087399
0.1,0.131969,0.042984,1.087414
0.11,0.131983,0.042973,1.087429
0.12,0.132012,0.042989,1.087417
0.13,0.132009,0.042995,1.087405
0.14,0.132017,0.042971,1.087406
0.15,0.132005,0.042967,1.087427
0.16,0.131957,0.042957,1.087434
0.17,0.131971,0.042979,1.087422
0.18,0.131933,0.042962,1.087405
0.19,0.131944,0.042974,1.08741
0.2,0.131933,0.042977,1.0874
0.21,0.131905,0.042979,1.087387
0.22,0.131897,0.042997,1.087384
0.23,0.131891,0.042994,1.087398
0.24,0.13185,0.042967,1.087385
0.25,0.13184,0.042955,1.087389
0.26,0.131861,0.04298,1.087379
0.27,0.131845,0.042979,1.087369
0.28,0.131868,0.042986,1.087389
0.29,0.131838,0.042971,1.087393
0.3,0.131811,0.042954,1.087382
0.31,0.131805,0.042948,1.087391
0.32,0.131818,0.042961,1.087377
0.33,0.131823,0.042947,1.087372
0.34,0.131823,0.042965,1.087391
0.35,0.13183,0.042968,1.087382
0.36,0.131826,0.042969,1.087387
0.37,0.131817,0.042966,1.087394
0.38,0.131799,0.042953,1.087405
0.39,0.131777,0.042937,1.087395
0.4,0.131769,0.042942,1.087385
0.41,0.131769,0.042951,1.087376
0.42,0.131766,0.042964,1.087366
0.43,0.131778,0.042969,1.087372
0.44,0.131778,0.04297,1.087372
0.45,0.131754,0.042973,1.087361
0.46,0.131727,0.042956,1.087363
0.47,0.131723,0.042978,1.087345
0.48,0.131727,0.042967,1.087345
0.49,0.131746,0.042956,1.087342
0.5,0.131712,0.042959,1.087337
0.51,0.131709,0.042972,1.087329
0.52,0.131708,0.042963,1.087337
0.53,0.131693,0.042948,1.087337
0.54,0.131693,0.042955,1.087332
0.55,0.131668,0.042922,1.087327
0.56,0.1317,0.04294,1.087311
0.57,0.13172,0.04293,1.087321
0.58,0.131764,0.042878,1.087348
0.59,0.131806,0.042887,1.087349
0.6,0.131828,0.042873,1.087354
0.61,0.131884,0.042876,1.087363
0.62,0.131911,0.042811,1.087385
0.63,0.131944,0.042771,1.087399
0.64,0.131956,0.042811,1.087359
0.65,0.132014,0.042763,1.087401
0.66,0.132058,0.042735,1.087451
0.67,0.132071,0.042704,1.087444
0.68,0.132108,0.042704,1.087451
0.69,0.132153,0.042681,1.087462
0.7,0.132216,0.042643,1.087482
0.71,0.132252,0.042624,1.087494
0.72,0.132307,0.042615,1.08751
0.73,0.13234,0.042591,1.087541
0.74,0.132435,0.042568,1.08758
0.75,0.132481,0.042535,1.087593
0.76,0.132533,0.042512,1.087615
0.77,0.132609,0.042498,1.087661
0.78,0.13269,0.042469,1.087714
0.79,0.132725,0.042452,1.087729
0.8,0.132745,0.042455,1.087753
0.81,0.132745,0.042451,1.087769
0.82,0.132756,0.042441,1.087776
0.83,0.132763,0.042446,1.087763
0.84,0.132731,0.042464,1.087762
0.85,0.132736,0.042471,1.087737
0.86,0.132747,0.042467,1.087729
0.87,0.132729,0.042462,1.087746
0.88,0.132692,0.0425,1.087708
0.89,0.132636,0.042517,1.087679
0.9,0.132564,0.042525,1.08762
0.91,0.132475,0.042545,1.08754
0.92,0.132407,0.042607,1.087476
0.93,0.13231,0.042658,1.087412
0.94,0.132227,0.042703,1.08738
0.95,0.13216,0.042726,1.087348
0.96,0.132092,0.042769,1.087295
0.97,0.132033,0.042841,1.087214
0.98,0.132004,0.042883,1.087154
0.99,0.131958,0.042914,1.08712
1,0.13192,0.04296,1.087051
1.01,0.131893,0.042978,1.087002
1.02,0.131887,0.043028,1.086973
1.03,0.131919,0.043072,1.086915
1.04,0.131972,0.043122,1.086863
1.05,0.132012,0.043168,1.086797
1.06,0.13204,0.043222,1.086703
1.07,0.132032,0.043321,1.086603
1.08,0.131967,0.043465,1.086409
1.09,0.132088,0.043459,1.08624
1.1,0.131996,0.043715,1.08587
1.11,0.132066,0.043964,1.085517
1.12,0.132231,0.044317,1.084979
1.13,0.1324,0.044798,1.08419
1.14,0.132653,0.045472,1.083041
1.15,0.132914,0.046461,1.081433
1.16,0.133076,0.04814,1.078713
1.17,0.133843,0.049805,1.074832
1.18,0.133988,0.052282,1.069506
1.19,0.134604,0.054938,1.063202
1.2,0.135545,0.057498,1.055807
1.21,0.136873,0.059442,1.047913
1.22,0.138272,0.061576,1.038818
1.23,0.140296,0.063016,1.029326
1.24,0.141642,0.064456,1.018802
1.25,0.143662,0.065666,1.007718
1.26,0.146096,0.066637,0.996045
1.27,0.147909,0.066866,0.983701
1.28,0.149663,0.066862,0.970784
1.29,0.151477,0.066278,0.957597
1.3,0.152588,0.065804,0.943602
1.31,0.153838,0.0647,0.929299
1.32,0.154175,0.063678,0.914381
1.33,0.15487,0.062252,0.899303
1.34,0.154546,0.061415,0.883667
1.35,0.154445,0.060856,0.868203
1.36,0.153444,0.061378,0.852304
1.37,0.152368,0.062582,0.836491
1.38,0.151112,0.064405,0.820666
1.39,0.14949,0.066311,0.805056
1.4,0.147911,0.068523,0.789573
1.41,0.146159,0.070479,0.77461
1.42,0.144461,0.072328,0.76
1.43,0.143059,0.073873,0.745928
1.44,0.141885,0.074856,0.732292
1.45,0.140298,0.076158,0.719156
1.46,0.139356,0.076834,0.70672
1.47,0.138252,0.07794,0.694958
1.48,0.136836,0.080001,0.684241
1.49,0.136615,0.082505,0.67453
1.5,0.136323,0.085351,0.665448
1.51,0.135566,0.088077,0.65677
1.52,0.134956,0.089732,0.64887
1.53,0.134597,0.090546,0.641468
1.54,0.134116,0.09047,0.634743
1.55,0.13367,0.090082,0.628536
1.56,0.13308,0.089639,0.622861
1.57,0.132796,0.088267,0.617679
1.58,0.132186,0.087042,0.612962
1.59,0.131392,0.085792,0.608413
1.6,0.131026,0.083893,0.604284
1.61,0.130404,0.082246,0.600411
1.62,0.129415,0.08038,0.596814
1.63,0.128852,0.07749,0.593708
1.64,0.12813,0.073992,0.591268
1.65,0.127498,0.070106,0.589444
1.66,0.127101,0.065932,0.587702
1.67,0.126985,0.060937,0.585905
1.68,0.126797,0.055528,0.584024
1.69,0.126759,0.05053,0.582365
1.7,0.127059,0.047263,0.581131
1.71,0.127564,0.046263,0.580149
1.72,0.128467,0.044641,0.579873
1.73,0.129153,0.043873,0.57928
1.74,0.129116,0.0437,0.578846
1.75,0.129337,0.043567,0.578568
1.76,0.128962,0.04372,0.578284
1.77,0.128956,0.043575,0.578052
1.78,0.128553,0.043414,0.577781
1.79,0.128557,0.04336,0.577593
1.8,0.128588,0.043324,0.57744
1.81,0.128631,0.043306,0.577326
1.82,0.128594,0.043242,0.57726
1.83,0.128659,0.043223,0.577253
1.84,0.128703,0.043183,0.577207
1.85,0.128722,0.043164,0.577208
1.86,0.128753,0.043161,0.577216
1.87,0.128756,0.043147,0.577242
1.88,0.128494,0.042836,0.577482
1.89,0.128665,0.042531,0.577515
1.9,0.128601,0.042794,0.577555
1.91,0.128681,0.042754,0.577597
1.92,0.128787,0.0427,0.577649
1.93,0.128881,0.042698,0.577734
1.94,0.128859,0.04264,0.57779
1.95,0.128853,0.042653,0.577824
1.96,0.128811,0.042614,0.577851
1.97,0.128792,0.042586,0.577881
1.98,0.128786,0.042576,0.577925
1.99,0.128788,0.042536,0.577951
2,0.128978,0.042231,0.578028
2.01,0.129045,0.042201,0.578091
2.02,0.129158,0.042169,0.578176
2.03,0.129291,0.042157,0.578225
2.04,0.129437,0.042136,0.578268
2.05,0.129575,0.04211,0.578331
2.06,0.129672,0.042114,0.578372
2.07,0.129808,0.042108,0.578407
2.08,0.129902,0.042131,0.57844
2.09,0.12999,0.042131,0.578456
2.1,0.130106,0.042125,0.578467
2.11,0.130201,0.042155,0.578429
2.12,0.13029,0.042159,0.578375
2.13,0.130361,0.042172,0.578299
2.14,0.130318,0.042225,0.578215
2.15,0.130052,0.042256,0.578163
2.16,0.129759,0.042323,0.578096
2.17,0.129541,0.042357,0.578032
2.18,0.129179,0.042704,0.57795
2.19,0.129023,0.042774,0.577885
2.2,0.128973,0.042888,0.57785
2.21,0.128812,0.042852,0.577828
2.22,0.128716,0.042873,0.57781
2.23,0.128642,0.042917,0.577778
2.24,0.128541,0.04293,0.577759
2.25,0.128448,0.042954,0.577741
2.26,0.128334,0.042967,0.577712
2.27,0.128213,0.042999,0.577684
2.28,0.128078,0.043012,0.577654
2.29,0.127943,0.043015,0.577649
2.3,0.127836,0.043008,0.577656
2.31,0.127749,0.043026,0.577653
2.32,0.127656,0.043039,0.577638
