Time (Seconds),RToeOut_X,RToeOut_Y,RToeOut_Z
0,-0.157764,0.052657,1.126109
0.01,-0.157741,0.052676,1.126089
0.02,-0.157725,0.05266,1.126049
0.03,-0.157725,0.053065,1.125945
0.04,-0.157719,0.052645,1.126069
0.05,-0.157735,0.052657,1.12611
0.06,-0.157709,0.052613,1.126055
0.07,-0.15773,0.05265,1.126052
0.08,-0.15771,0.052617,1.126032
0.09,-0.157706,0.053048,1.125941
0.1,-0.157684,0.053017,1.125919
0.11,-0.157673,0.053015,1.125918
0.12,-0.157637,0.053008,1.125828
0.13,-0.157634,0.053001,1.125823
0.14,-0.157597,0.05297,1.125728
0.15,-0.157594,0.052553,1.125816
0.16,-0.157578,0.052968,1.125672
0.17,-0.157562,0.052948,1.125663
0.18,-0.157566,0.052963,1.125683
0.19,-0.157531,0.052973,1.125655
0.2,-0.157524,0.052975,1.12564
0.21,-0.157546,0.052987,1.125727
0.22,-0.157531,0.052983,1.125671
0.23,-0.157504,0.052987,1.125616
0.24,-0.157514,0.053012,1.125669
0.25,-0.157525,0.053002,1.125672
0.26,-0.15751,0.053002,1.125653
0.27,-0.157514,0.053033,1.125673
0.28,-0.157497,0.053039,1.125669
0.29,-0.15752,0.053042,1.125751
0.3,-0.157515,0.05263,1.125819
0.31,-0.157524,0.052634,1.12584
0.32,-0.157535,0.052653,1.125858
0.33,-0.157545,0.053076,1.125761
0.34,-0.157549,0.052644,1.125858
0.35,-0.157571,0.052671,1.125902
0.36,-0.157593,0.052718,1.125957
0.37,-0.157558,0.052734,1.125902
0.38,-0.157556,0.052735,1.125898
0.39,-0.157555,0.052723,1.125927
0.4,-0.157557,0.052729,1.125934
0.41,-0.157574,0.052748,1.125961
0.42,-0.157591,0.05273,1.125939
0.43,-0.157567,0.052719,1.125874
0.44,-0.157553,0.052696,1.125786
0.45,-0.157528,0.052724,1.125761
0.46,-0.157486,0.052692,1.125679
0.47,-0.157454,0.052694,1.125648
0.48,-0.15742,0.052689,1.12554
0.49,-0.157399,0.052654,1.125505
0.5,-0.157328,0.052641,1.125332
0.51,-0.157341,0.052627,1.125323
0.52,-0.157331,0.052641,1.125283
0.53,-0.157316,0.052618,1.125219
0.54,-0.15728,0.052587,1.125124
0.55,-0.157271,0.052579,1.125074
0.56,-0.157279,0.052556,1.125047
0.57,-0.157244,0.052561,1.124924
0.58,-0.157243,0.05259,1.124919
0.59,-0.157206,0.052552,1.124818
0.6,-0.157214,0.052521,1.124799
0.61,-0.157247,0.052495,1.124903
0.62,-0.157252,0.052475,1.124832
0.63,-0.157244,0.052444,1.124765
0.64,-0.157179,0.052358,1.124587
0.65,-0.157126,0.052317,1.124428
0.66,-0.157077,0.052249,1.124319
0.67,-0.15702,0.052199,1.124186
0.68,-0.156965,0.05213,1.124043
0.69,-0.1569,0.052062,1.123823
0.7,-0.156804,0.051999,1.123614
0.71,-0.156696,0.051911,1.123357
0.72,-0.156593,0.051809,1.123119
0.73,-0.156528,0.051769,1.122975
0.74,-0.156668,0.051957,1.123513
0.75,-0.156561,0.051847,1.123203
0.76,-0.156463,0.051764,1.122886
0.77,-0.156603,0.051893,1.123318
0.78,-0.156688,0.051867,1.123217
0.79,-0.156467,0.051753,1.122843
0.8,-0.156412,0.051667,1.122657
0.81,-0.156304,0.051621,1.122458
0.82,-0.156371,0.051704,1.122605
0.83,-0.15643,0.051636,1.122461
0.84,-0.15629,0.052339,1.123317
0.85,-0.156127,0.052238,1.122931
0.86,-0.15598,0.052188,1.122678
0.87,-0.156397,0.051636,1.122338
0.88,-0.156168,0.051946,1.121914
0.89,-0.156058,0.051828,1.121764
0.9,-0.156023,0.051659,1.121466
0.91,-0.156003,0.051482,1.121248
0.92,-0.156001,0.051273,1.120988
0.93,-0.156027,0.051076,1.120785
0.94,-0.156126,0.05084,1.120615
0.95,-0.156259,0.05059,1.120424
0.96,-0.156415,0.050291,1.120322
0.97,-0.156531,0.050104,1.120216
0.98,-0.156627,0.049927,1.120174
0.99,-0.156701,0.049798,1.120162
1,-0.156752,0.049677,1.120129
1.01,-0.156791,0.049578,1.120117
1.02,-0.156796,0.049484,1.120042
1.03,-0.156817,0.049388,1.120047
1.04,-0.156878,0.04933,1.120088
1.05,-0.156975,0.049249,1.120135
1.06,-0.157117,0.049164,1.120194
1.07,-0.157235,0.049063,1.120233
1.08,-0.157361,0.048912,1.119997
1.09,-0.157433,0.049081,1.120496
1.1,-0.157459,0.049152,1.120642
1.11,-0.157447,0.049271,1.120796
1.12,-0.157415,0.049337,1.120915
1.13,-0.157344,0.049407,1.121008
1.14,-0.157337,0.049454,1.121067
1.15,-0.157355,0.049472,1.12106
1.16,-0.157452,0.049309,1.120673
1.17,-0.157554,0.049327,1.120734
1.18,-0.157656,0.049346,1.120861
1.19,-0.157757,0.049566,1.121469
1.2,-0.15784,0.04957,1.12174
1.21,-0.157772,0.049589,1.121892
1.22,-0.157786,0.049766,1.122091
1.23,-0.15783,0.049861,1.122302
1.24,-0.157893,0.04989,1.122433
1.25,-0.157915,0.050051,1.122632
1.26,-0.157954,0.048703,1.122993
1.27,-0.156898,0.051434,1.12047
1.28,-0.157141,0.050953,1.119302
1.29,-0.157336,0.051083,1.119456
1.3,-0.156903,0.051575,1.120758
1.31,-0.157027,0.051492,1.120262
1.32,-0.157201,0.051555,1.12039
1.33,-0.157405,0.051599,1.120581
1.34,-0.157711,0.051804,1.121507
1.35,-0.157102,0.051651,1.120799
1.36,-0.157485,0.051129,1.119487
1.37,-0.15746,0.051104,1.119374
1.38,-0.157443,0.051248,1.119671
1.39,-0.157004,0.051148,1.119527
1.4,-0.157149,0.051717,1.121019
1.41,-0.157087,0.051715,1.120936
1.42,-0.156902,0.051628,1.120443
1.43,-0.156974,0.051163,1.119306
1.44,-0.156857,0.051133,1.119164
1.45,-0.156663,0.051692,1.120701
1.46,-0.156559,0.051609,1.120477
1.47,-0.156514,0.051523,1.120413
1.48,-0.156228,0.053056,1.120553
1.49,-0.156916,0.049585,1.123454
1.5,-0.15849,0.050477,1.124775
1.51,-0.15846,0.050776,1.123911
1.52,-0.156606,0.050403,1.12279
1.53,-0.156619,0.05029,1.122735
1.54,-0.156628,0.049757,1.122802
1.55,-0.156691,0.049578,1.122644
1.56,-0.156738,0.049429,1.122444
1.57,-0.156764,0.049272,1.122169
1.58,-0.156778,0.049135,1.121968
1.59,-0.156752,0.048921,1.121416
1.6,-0.15721,0.04855,1.120396
1.61,-0.157007,0.048521,1.120285
1.62,-0.157495,0.048243,1.119483
1.63,-0.15768,0.048087,1.119047
1.64,-0.157546,0.048352,1.119402
1.65,-0.157509,0.048161,1.118535
1.66,-0.157376,0.048122,1.117735
1.67,-0.157174,0.048239,1.116973
1.68,-0.156995,0.048985,1.11579
1.69,-0.156719,0.049216,1.114583
1.7,-0.156482,0.049717,1.113712
1.71,-0.156335,0.050174,1.112544
1.72,-0.156297,0.05039,1.111411
1.73,-0.156448,0.051361,1.109888
1.74,-0.156779,0.052856,1.107746
1.75,-0.157145,0.054092,1.105531
1.76,-0.157442,0.055004,1.103268
1.77,-0.157817,0.056535,1.100426
1.78,-0.1582,0.058358,1.097069
1.79,-0.158503,0.059635,1.094274
1.8,-0.159041,0.061505,1.09064
1.81,-0.159673,0.063431,1.087005
1.82,-0.160406,0.065332,1.08261
1.83,-0.161337,0.067971,1.075806
1.84,-0.162449,0.070614,1.067936
1.85,-0.163908,0.073466,1.058665
1.86,-0.164997,0.075664,1.048459
1.87,-0.166158,0.077351,1.037163
1.88,-0.166932,0.078538,1.024452
1.89,-0.167355,0.079234,1.011296
